"US Federal Government Spending"
"Fiscal Year 2016 - 2021"
"Estimated Outlays in "
"Year","","FY 2016 Outlays","","FY 2017 Outlays","","FY 2018 Outlays","","FY 2019 Outlays","","FY 2020 Outlays","","FY 2021 Outlays",""
"Pensions","","990","b","1,028","b","1,085","b","1,155","b","1,225","b","1,294","b"
"Health Care","","1,121","b","1,173","b","1,217","b","1,313","b","1,377","b","1,457","b"
"Education","","126","b","121","b","133","b","142","b","149","b","154","b"
"Defense","","829","b","854","b","835","b","847","b","859","b","873","b"
"Welfare","","383","b","392","b","402","b","415","b","423","b","431","b"
"Protection","","64","b","64","b","63","b","62","b","63","b","64","b"
"Transportation","","92","b","100","b","108","b","116","b","124","b","130","b"
"General Government","","26","b","31","b","30","b","32","b","34","b","36","b"
"Other Spending","","79","b","83","b","94","b","103","b","104","b","111","b"
"Interest","","240","b","303","b","385","b","460","b","523","b","574","b"
"Balance","","0","","0","","0","","0","","0","","0",""
"Total Spending","","3,951","b","4,147","b","4,352","b","4,644","b","4,880","b","5,124","b"
"Federal Deficit","","616","b","503","b","454","b","549","b","534","b","552","b"
"Gross Public Debt","","19,433","e","20,149","e","20,884","e","21,695","e","22,447","e","23,199","e"

"Legend:"
" b - budgeted estimate in US FY17 budget"
" e - estimated by usgovernmentspending.com"
" g - 'guesstimated' projection by usgovernmentspending.com"
"Data Sources for 2016:"
"Federal: ","www.gpo.gov/fdsys/browse/collection.action?collectionCode=BUDGET&browsePath=Fiscal+Year+2016&searchPath=Fiscal+Year+2016&leafLevelBrowse=false&isCollapsed=false&isOpen=true&packageid=BUDGET-2016-TAB&ycord=822","Fed. Budget: Hist. Tables 3.2, 5.1, 7.1",""
""
"Data Sources for 2021:"
"Federal: ","www.gpo.gov/fdsys/browse/collection.action?collectionCode=BUDGET&browsePath=Fiscal+Year+2016&searchPath=Fiscal+Year+2016&leafLevelBrowse=false&isCollapsed=false&isOpen=true&packageid=BUDGET-2016-TAB&ycord=822","Fed. Budget: Hist. Tables 3.2, 5.1, 7.1",""
""

"source: usgovernmentspending.com"
